Venue Name,Venue Location,Price per Plate
Thirty Six Palms,"Cherai, Kochi",368 - 468
Esha Heritage Inn - Atlanta Hall,"Cherai, Kochi",413 - 590
Cherai Beach Residency Open space Lawn,"Cherai, Kochi",600 - 700
Cherai Beach Resorts Koothambalam Hall,"Cherai, Kochi",767 - 944
Harbour hotels Mermaid,"Cherai, Kochi",250 - 320
Mare Blu Resort,"Cherai, Kochi",250 - 550
Sea Lagoon Health Resort Sarangi Hall,"Cherai, Kochi",619 - 708
Kadalkkara Lake Resorts,"Cherai, Kochi",1 - 1
MALIEKAL HERITANCE CHERAI,"Cherai, Kochi",1062 - 1180
sapphire club,"Cherai, Kochi",360 - 500
La mer beach resort,"Cherai, Kochi",300 - 500
Cherai residency,"Cherai, Kochi",200 - 250
Cherai Beach Palace,"Cherai, Kochi",200 - 200
Miami cherai,"Cherai, Kochi",200 - 200
Blue Bird,"Cherai, Kochi",413 - 531
Lago Leisure Resort Open Lawn,"Cherai, Kochi",1250 - 1350
Relax Home Stay,"Cherai, Kochi",130 - 300
Club Mahindra Banquet Hall,"Cherai, Kochi",1062 - 1298
Cherai Natural Beach,"Cherai, Kochi",250 - 400
Sealine Beach resort 1,"Cherai, Kochi","25,000"
Atharvam Resorts Open Space,"Cherai, Kochi","15,000"
Edassery Sea line Beach Resort Open Space,"Cherai, Kochi","60,000"
Sahodaran Ayyappan Smaraka Hall,"Cherai, Kochi","30,000"
