Venue Name,Venue Location,Price per Plate
Kantamneni Covention Hall,"Chevitikallu, Vijayawada","1,00,000"
SV Function Hall,"Chevitikallu, Vijayawada","1,30,000"
Vasanth Vihar Gardens,"Chevitikallu, Vijayawada","55,000"
A Kanchikacherla Convention Hall,"Chevitikallu, Vijayawada","1,50,018"
Sri Shubamastu Garden Function Hall,"Chevitikallu, Vijayawada","90,000"
Maha Function Hall,"Chevitikallu, Vijayawada","65,018"
YPR Gardens Function Hall,"Chevitikallu, Vijayawada","10,000"
Sneha Function Hall,"Chevitikallu, Vijayawada","20,000"
Balaji AC Function Hall,"Chevitikallu, Vijayawada","50,000"
Vemuri Convention Hall,"Chevitikallu, Vijayawada","50,000"
MG Palace Function Hall,"Chevitikallu, Vijayawada","15,000"
