Venue Name,Venue Location,Price per Plate
Hotel Srisierra Hall,"Chikkaballapur, Bangalore",750 - 850
Silvan Villa Resort,"Chikkaballapur, Bangalore",300 - 500
Shree Surya Convention Hall Bagepalli AC,"Chikkaballapur, Bangalore","1,05,018"
Sree Yatheendra Farms,"Chikkaballapur, Bangalore","55,018"
Ramakrishna Kalyana Mantapa,"Chikkaballapur, Bangalore","55,018"
GHN Convention Hall,"Chikkaballapur, Bangalore","1,15,018"
SLN Convention Hall,"Chikkaballapur, Bangalore","77,018"
Om Sreem Sri Seetha Rama Kalyana Mantapa. Kaiwara,"Chikkaballapur, Bangalore","35,018"
Gangadharaiah Kalayana Bhavana,"Chikkaballapur, Bangalore","1,20,000"
VNS Kalyana Mantapa,"Chikkaballapur, Bangalore","50,000"
Elite Convention Centre,"Chikkaballapur, Bangalore","1,10,000"
Raj Farms Pool Side Lawn,"Chikkaballapur, Bangalore","50,000"
Sri Harshodhaya Convention Hall,"Chikkaballapur, Bangalore","1,00,000"
NS Palace Convention Hall,"Chikkaballapur, Bangalore","70,000"
HKGN Convention Hall,"Chikkaballapur, Bangalore","40,000"
