Venue Name,Venue Location,Price per Plate
Shree Sai lawns Pimple Gurav,"Chinchwad, Pune",800 - 1000
Rangoli Banquet Hall,"Chinchwad, Pune",400 - 450
Neo Woods Hall,"Chinchwad, Pune","1,40,000"
Crystal Deck Hall,"Chinchwad, Pune",450 - 650
Rose Wood Restaurant,"Chinchwad, Pune",549 - 649
Grand Exotica Business Hotel,"Chinchwad, Pune",650 - 800
crystal lawns,"Chinchwad, Pune",900 - 1200
Corporate Guest Line Hotel,"Chinchwad, Pune",350 - 400
Crystal Deck,"Chinchwad, Pune",450
Copa Villa,"Chinchwad, Pune",800 - 950
Spree Shivai Hotel,"Chinchwad, Pune",550 - 650
"Crystal Deck,pune","Chinchwad, Pune",450
Ramkrishna Mangal Karyalaya Hall,"Chinchwad, Pune",400 - 500
Hotel Celebrations Inn,"Chinchwad, Pune",1000 - 1500
Aher Garden Mangal Karyalaya,"Chinchwad, Pune",400
kyraid hotel,"Chinchwad, Pune",708 - 885
Mauli Lawns,"Chinchwad, Pune","1,20,000"
Kunal Gardens Lawn,"Chinchwad, Pune","5,00,000"
Muktangan Lawns,"Chinchwad, Pune","35,000"
Shubhashree Hall,"Chinchwad, Pune","50,000"
The Riverfront Resort,"Chinchwad, Pune",750 - 900
