Venue Name,Venue Location,Price per Plate
J2 Mahal,"Chrompet, Chennai","1,07,000"
Veda Mahal,"Chrompet, Chennai","20,000"
Copper Kitchen,"Chrompet, Chennai",550 - 599
Arasan Mahal,"Chrompet, Chennai","1,60,000"
AS Mahal,"Chrompet, Chennai","37,760"
Fazari Banquet Hall,"Chrompet, Chennai",450 - 500
Kubera Banquets,"Chrompet, Chennai",650
Fazari Multi Cuisine Restaurant,"Chrompet, Chennai",500 - 650
Selvam Mahal,"Chrompet, Chennai","1,60,000"
KL Mahal,"Chrompet, Chennai","1,20,000"
Sri Anugraha Party Hall,"Chrompet, Chennai","40,000"
Abirami Thirumana Koodam,"Chrompet, Chennai","65,000"
Samsar Mahal,"Chrompet, Chennai","25,000"
