Venue Name,Venue Location,Price per Plate
Hotel Green Lotus Hall 1,"Dwarka, Delhi Ncr",550 - 750
Jaggi Green Garden,"Dwarka, Delhi Ncr",650 - 750
Vivanta By Taj Dwarka,"Dwarka, Delhi Ncr",350 - 450
The Aman Green,"Dwarka, Delhi Ncr",1000 - 1200
Galaxy Banquet Hall 1,"Dwarka, Delhi Ncr",900 - 1400
The Royal Dreams Banquet,"Dwarka, Delhi Ncr","1,205"
Dev Farm House,"Dwarka, Delhi Ncr",1600 - 1500
ITC Welcomhotel,"Dwarka, Delhi Ncr",2500 - 2700
priyanka party Hall 1,"Dwarka, Delhi Ncr",1175 - 1450
Govindam Banquet Hall 1,"Dwarka, Delhi Ncr",1218 - 1518
Anand Mangal Banquet Hall 1,"Dwarka, Delhi Ncr",518 - 750
Hotel Sai International,"Dwarka, Delhi Ncr",1200 - 1600
Govindas Banquet Hall,"Dwarka, Delhi Ncr",850
Shri Bikaner Party Hall,"Dwarka, Delhi Ncr",800
Bawa Palace Hall,"Dwarka, Delhi Ncr",750
The Password Unplugged Hall,"Dwarka, Delhi Ncr",600 - 800
Ananda Bliss Hall,"Dwarka, Delhi Ncr",1318 - 1318
Kansals Angana Party Hall And Lawn,"Dwarka, Delhi Ncr",700 - 1200
Stellar Pandal 1,"Dwarka, Delhi Ncr",2500 - 3000
Grand Elysium,"Dwarka, Delhi Ncr",800 - 800
Balle Balle Spices Party Hall,"Dwarka, Delhi Ncr",750 - 850
Jaiminis Landmark,"Dwarka, Delhi Ncr",500 - 650
Maxfort Budget Hotel,"Dwarka, Delhi Ncr",600 - 700
Hotel Airway Suites,"Dwarka, Delhi Ncr",700 - 900
