Venue Name,Venue Location,Price per Plate
Beach Castle Resort,"Ecr, Chennai","4,00,000"
Green Meadows Resort,"Ecr, Chennai",1600 - 1800
MCC Hall,"Ecr, Chennai","2,50,000"
Gopinath Gardens Indoor & Outdoor Venue,"Ecr, Chennai","7,00,000"
MGM Beach Resort Lake Lawn,"Ecr, Chennai",1300 - 1500
Food Village Multi Cuisine,"Ecr, Chennai",377 - 495
Ecr Jaya Garden Open Lawn 1,"Ecr, Chennai",468 - 568
The Blue House Beach Wedding Lawn,"Ecr, Chennai","7,00,000"
Lush Garden Resort Southern Lawn,"Ecr, Chennai","75,000"
Royal Beach Resort,"Ecr, Chennai",750 - 900
Dhanvanth Hall,"Ecr, Chennai","25,000"
Orchid Resorts Open Lawn 1,"Ecr, Chennai","3,00,000"
VGP Golden Beach Resort - Royal Garden,"Ecr, Chennai","1,50,000"
Suganya Thirumana Mandapam,"Ecr, Chennai","60,000"
