Venue Name,Venue Location,Price per Plate
Shivai Lawns,"Erandwane, Pune",750 - 850
Srushtee Garden,"Erandwane, Pune",750 - 1100
Krushna Sundar Lawn,"Erandwane, Pune",750 - 1050
Conferia Banquet Hall,"Erandwane, Pune",750 - 850
Siddhi Gardens & Banquets,"Erandwane, Pune",1500 - 2000
Shreeganesh Sabhagruha,"Erandwane, Pune",650 - 800
Agreen Hotels & Resorts,"Erandwane, Pune",700 - 800
Shrustee Lawns,"Erandwane, Pune",950 - 1200
"Shubharambh Lawns,Pune","Erandwane, Pune",550 - 650
Hotel Royalty Banquet Hall,"Erandwane, Pune",850
Royal Park Gardens,"Erandwane, Pune",750
Ygai Banquet Hall,"Erandwane, Pune",850
Gharkul Lawns Erandwane,"Erandwane, Pune",650 - 950
Shrushti Garden,"Erandwane, Pune","90,000"
Shubharambh Lawns,"Erandwane, Pune","2,15,000"
Kalpak Banquet Hall,"Erandwane, Pune","50,000"
Krushna Sundar Lawns,"Erandwane, Pune","2,00,000"
Sonal Hall,"Erandwane, Pune","45,000"
