Venue Name,Venue Location,Price per Plate
Ajanta Restaurant And Party Hall,"Goregaon West, Mumbai",700 - 800
Maher Banquet Hall,"Goregaon West, Mumbai",805
Anmol Party Hall,"Goregaon West, Mumbai",600 - 675
Event Banquet Party Hall,"Goregaon West, Mumbai",500 - 600
Kasbah Grand Banquet,"Goregaon West, Mumbai",875 - 1180
Sai Palace Hotel,"Goregaon West, Mumbai",700 - 900
Peninsula Redpine Banquet,"Goregaon West, Mumbai",800 - 1000
"Anmol Banquets, Goregaon West","Goregaon West, Mumbai",700 - 800
Kamal Banquet Hall,"Goregaon West, Mumbai",500 - 600
I B Patel Banquet,"Goregaon West, Mumbai",800
Washington Plaza Banquet Hall,"Goregaon West, Mumbai",600
Earth Terrace,"Goregaon West, Mumbai","1,768"
Keshav Gore Smarak Trust hall,"Goregaon West, Mumbai",350
"Event Banquet Party Hall, Mumbai","Goregaon West, Mumbai",500 - 700
Trento Banquet Hall,"Goregaon West, Mumbai",750 - 850
"Event Banquet Hall, Mumbai","Goregaon West, Mumbai","35,000"
The Empire,"Goregaon West, Mumbai","80,000"
Arya Samaj marriage Hall,"Goregaon West, Mumbai","75,000"
Kalasmruti Grounds,"Goregaon West, Mumbai","50,000"
Laxmi Saraswati Ground,"Goregaon West, Mumbai","65,000"
Bangur Sports Complex [Bramha Mahesh Ground],"Goregaon West, Mumbai",600 - 800
