Venue Name,Venue Location,Price per Plate
Naveraa Resort,"Hoskote, Bangalore","45,000"
Sri Hari convention Hall,"Hoskote, Bangalore",800
HJSS Convention Hall,"Hoskote, Bangalore","1,00,018"
Magnolia club resorts,"Hoskote, Bangalore",700 - 941
Hotel VT Paradise,"Hoskote, Bangalore",700 - 900
Solace Resorts And Spa,"Hoskote, Bangalore",600 - 800
SN Resort Mini Hall,"Hoskote, Bangalore",250 - 350
vemana party hall,"Hoskote, Bangalore",800 - 1000
Deepthi Mahal Kalyana Mantapa,"Hoskote, Bangalore",900
Shri Akhila Havyaka Mahasabha,"Hoskote, Bangalore",650 - 650
Highway Star,"Hoskote, Bangalore",700 - 900
The Elite Narasapura Hall 2,"Hoskote, Bangalore",850 - 999
Thavaru Homestay,"Hoskote, Bangalore",700 - 700
Homestay Advisor,"Hoskote, Bangalore",700 - 890
Golden Amoon Retreats and SPA,"Hoskote, Bangalore",800 - 1000
Home By The Pinaakini,"Hoskote, Bangalore",800 - 1000
SRAS Convention Hall,"Hoskote, Bangalore","45,000"
MS AC Function Hall,"Hoskote, Bangalore","20,000"
Milana Convention Hall,"Hoskote, Bangalore","1,50,000"
Shri Shuba Sapthagiri Kalyana Mantapa,"Hoskote, Bangalore","12,500"
Sahakari Kalyan Mantapa,"Hoskote, Bangalore","78,000"
Vishwanath Convention Hall,"Hoskote, Bangalore","55,018"
Sree Beereshwara Swamy Kalyana Mantapa,"Hoskote, Bangalore","70,018"
Sri Shubha Sapthagiri Convention Hall,"Hoskote, Bangalore","1,35,018"
