Venue Name,Venue Location,Price per Plate
Club Mahindra Virajpet Party Hall,"Hunsur, Mysore",1250 - 1250
Ministers Kourt,"Hunsur, Mysore",800 - 1000
"Taj Madikeri Resort & Spa, Coorg","Hunsur, Mysore",750 - 950
Purple Palms Resort Spa Coorg,"Hunsur, Mysore",750 - 950
New Sharada Resorts,"Hunsur, Mysore",700 - 850
Country Club Wildlife Resort,"Hunsur, Mysore",800 - 1100
Amblee Holiday Resort lawn,"Hunsur, Mysore",700 - 900
Seed Resort hall,"Hunsur, Mysore",750 - 900
Surabi Hotel,"Hunsur, Mysore",700 - 900
Coorg Jungle Kids Resort,"Hunsur, Mysore",800 - 1050
Soho Coorg Backwater Resort,"Hunsur, Mysore",700 - 900
Ningamma Shivegowda Kalyana Mantapa,"Hunsur, Mysore","33,001"
VIK Kalyana Mantapa,"Hunsur, Mysore","80,000"
New Castel,"Hunsur, Mysore","5,50,000"
SAS function Hall,"Hunsur, Mysore","30,000"
Serenity Hall,"Hunsur, Mysore","1,00,000"
Sri Nimishamba Somavamsha Arya Kshitrya Samudhaya Bhavana,"Hunsur, Mysore","60,000"
Gowramma Puttaswamappa Convention Hall,"Hunsur, Mysore","65,000"
Balaji Kalyana Mantapa,"Hunsur, Mysore","2,00,000"
