Venue Name,Venue Location,Price per Plate
Nagarjuna Banquet Hall,"Indiranagar, Bangalore",550 - 750
Lono The Tropical Lounge Mini Hall,"Indiranagar, Bangalore",750 - 850
Rendezvous The Party Venue Hall,"Indiranagar, Bangalore",600 - 700
Bombay Brasserie Mini Hall,"Indiranagar, Bangalore",650 - 750
Bumblebee Brew Works,"Indiranagar, Bangalore","18,000"
Sly Granny,"Indiranagar, Bangalore","18,000"
De Courtyard Banquet,"Indiranagar, Bangalore","80,000"
Jimis Hall,"Indiranagar, Bangalore","20,000"
Dumis Mini Hall,"Indiranagar, Bangalore","40,000"
NDK Kalyana Mandira,"Indiranagar, Bangalore","1,00,000"
