Venue Name,Venue Location,Price per Plate
BEL Kalyana Mantapa Hall,"Jalahalli, Bangalore",750
Hotel Premier Comfort Hall,"Jalahalli, Bangalore",450
Sambhram Roost Party Hall,"Jalahalli, Bangalore",599 - 999
Kadamba Gardenia,"Jalahalli, Bangalore",315
Drishya Auditorium Convention Hall,"Jalahalli, Bangalore","60,000"
Moidu Palace Marriage Hall,"Jalahalli, Bangalore","50,018"
Rapati Kalyan Mantap,"Jalahalli, Bangalore","1,15,018"
Basava Bhavana,"Jalahalli, Bangalore","95,018"
Sri Lakshmi Chamaraj Kalyana Mantapa,"Jalahalli, Bangalore","55,000"
SwathiI Party Hall,"Jalahalli, Bangalore","30,000"
