Venue Name,Venue Location,Price per Plate
Al Ayamna Banquet,"Jogeshwari, Mumbai",550 - 725
Dewan Center Hall,"Jogeshwari, Mumbai",450 - 550
Vagad Banquet Hall,"Jogeshwari, Mumbai",850
Sammelan Banquet,"Jogeshwari, Mumbai",800 - 1000
Meena Kumari Hall,"Jogeshwari, Mumbai",550 - 750
F Ninetynine banquet,"Jogeshwari, Mumbai",800 - 800
Chunawala Wedding Ground,"Jogeshwari, Mumbai",600 - 750
Hotel Mina International,"Jogeshwari, Mumbai",800 - 1000
Hotel Cliffton Hall,"Jogeshwari, Mumbai",950 - 1250
Bonanza Lawn,"Jogeshwari, Mumbai",350 - 450
The Grand FM Banquet,"Jogeshwari, Mumbai",800 - 1000
G B Pant Foundation Hall,"Jogeshwari, Mumbai",450 - 500
Swastik Party Hall,"Jogeshwari, Mumbai","12,000"
K Ground,"Jogeshwari, Mumbai","1,22,000"
Shree Saurashtra Patel Samaj Hall,"Jogeshwari, Mumbai",550
Mangalya Mangal Karyalay,"Jogeshwari, Mumbai","80,000"
The Grand Chunawala Lawn,"Jogeshwari, Mumbai","1,20,000"
Marhaba Ground,"Jogeshwari, Mumbai",450
Ali Baba Banquet Hall,"Jogeshwari, Mumbai","70,000"
K - Ground,"Jogeshwari, Mumbai","1,20,000"
