Venue Name,Venue Location,Price per Plate
Juhu Club Millennium,"Juhu, Mumbai","4,950"
The Park Mumbai Juhu,"Juhu, Mumbai",350 - 450
Citizen Hotel Hall,"Juhu, Mumbai",1100 - 1200
Razzberry Rhinoceros,"Juhu, Mumbai",600 - 700
Estella,"Juhu, Mumbai",2600 - 2600
Sun n Sand Hotel,"Juhu, Mumbai",3100 - 3400
Hotel Atlantic,"Juhu, Mumbai",750 - 850
"Hotel Ajanta, Mumbai","Juhu, Mumbai",850 - 1050
"JVPD Grounds, Juhu","Juhu, Mumbai",800
I.M.A Hall,"Juhu, Mumbai",450
Gandhi Shikshan Bhavan Lawn,"Juhu, Mumbai","65,000"
Hotel Sea Princess,"Juhu, Mumbai","50,000"
Hoot Mumbai Hall,"Juhu, Mumbai","35,000"
Elegant Banquets Juhu,"Juhu, Mumbai","60,000"
Sheesha Sky Lounge Juhu Mini Hall,"Juhu, Mumbai","45,000"
Mogul Palace Hotel,"Juhu, Mumbai","35,000"
Razzberry Rhinoceros Mini Hall,"Juhu, Mumbai","60,000"
