Venue Name,Venue Location,Price per Plate
Rena Event Hub,"Kaloor, Kochi",On Request
Sidra Pristine Hotel Hall 1,"Kaloor, Kochi",560 - 649
Coral Isle Pool Side,"Kaloor, Kochi",600 - 650
Sanjoe Banquet Hall AC,"Kaloor, Kochi",357 - 476
Hotel classic Conference Hall,"Kaloor, Kochi",118 - 177
Hotel Kings Empire,"Kaloor, Kochi",110 - 200
The PGS Vedanta Business Hotel The View,"Kaloor, Kochi",590 - 708
Pearl Palace Hall,"Kaloor, Kochi",650 - 750
Edassery Mansion,"Kaloor, Kochi",531 - 531
Hotel Prayana,"Kaloor, Kochi",354 - 442
Hala Residency,"Kaloor, Kochi",350 - 400
IMA House,"Kaloor, Kochi",575 - 630
Luminara Hall,"Kaloor, Kochi",531 - 649
North Seven,"Kaloor, Kochi",550 - 650
The Grand Seasons Banquet Hall,"Kaloor, Kochi",650 - 750
Sree Gokulam Convention Centre - Sabari Hall,"Kaloor, Kochi",On Request
Shangrila Convention Centre - Hall 1,"Kaloor, Kochi",On Request
Vedanta Wake Up - Viceroy Hall,"Kaloor, Kochi",On Request
A J Hall,"Kaloor, Kochi","1,50,000"
Palmhouse Retreat,"Kaloor, Kochi","12,980"
Rosamma Mini Hall,"Kaloor, Kochi","7,000"
AJ Hall,"Kaloor, Kochi","1,90,000"
Tata Oil Mill Workers Union Hall,"Kaloor, Kochi","6,000"
Main Hall ShangriLa,"Kaloor, Kochi","8,14,400"
