Venue Name,Venue Location,Price per Plate
Alampallys Banquets Hall-1,"Karmanghat, Hyderabad",283 - 383
Sithara Grand Maharani,"Karmanghat, Hyderabad",393 - 502
Anand Banquet,"Karmanghat, Hyderabad",531 - 649
VSR Banquets,"Karmanghat, Hyderabad",275 - 375
NBR Banquet Hall,"Karmanghat, Hyderabad",315 - 473
VR Grand Open Trrace,"Karmanghat, Hyderabad",380 - 380
Shilpi Grand,"Karmanghat, Hyderabad",450 - 600
Hotel Shubham Celebrations - Flavours,"Karmanghat, Hyderabad",590 - 708
VR Grand Banquet Hall 1,"Karmanghat, Hyderabad",270 - 400
Ashok Banquet Hall,"Karmanghat, Hyderabad","50,000"
N Village Banquet Hall,"Karmanghat, Hyderabad",400 - 525
YSR Convention Hall,"Karmanghat, Hyderabad","5,00,000"
Kotha Kapu Yadava Reddy Gardens,"Karmanghat, Hyderabad",On Request
Vanga Shankaramma Garden,"Karmanghat, Hyderabad","1,25,000"
Singi Reddy Shiva Reddy Gardens,"Karmanghat, Hyderabad","1,60,018"
BRR Function hall,"Karmanghat, Hyderabad","1,00,000"
Sumangali Marriage Hall,"Karmanghat, Hyderabad","1,00,000"
Swagath Grand Convention Hall AC,"Karmanghat, Hyderabad","4,50,000"
