Venue Name,Venue Location,Price per Plate
New Classic Garden Function Hall,"Karwan, Hyderabad","30,000"
Shakeel Function Plaza Hall,"Karwan, Hyderabad",250 - 350
Mahboob Function Hall,"Karwan, Hyderabad","1,77,200"
SDA Palace,"Karwan, Hyderabad","20,000"
SBA Garden,"Karwan, Hyderabad","2,20,000"
Mahboob Pride Palace,"Karwan, Hyderabad","3,20,000"
Viswanath Bhavan Mini Function Hall,"Karwan, Hyderabad","25,000"
Rose Max Function Hall,"Karwan, Hyderabad","60,018"
Perfect Palace,"Karwan, Hyderabad","80,000"
The Vintage Palace,"Karwan, Hyderabad",1400 - 1800
