Venue Name,Venue Location,Price per Plate
Hotel Regal Enclave Mini Hall,"Khar West, Mumbai",850 - 1050
Le Sutra,"Khar West, Mumbai",1200 - 1300
Vishnu Prasad Hall,"Khar West, Mumbai",600 - 800
G A Kulkarni Hall,"Khar West, Mumbai",800 - 1000
"Pathare Prabhu Hall,Mumbai","Khar West, Mumbai",550
Only Parathas Mini Hall,"Khar West, Mumbai",850
Ramee Guestline Hotel Hall,"Khar West, Mumbai",550 - 750
The Korner House,"Khar West, Mumbai",1550 - 2500
Olive Kitchen Mini Hall,"Khar West, Mumbai",1250 - 1550
"The Korner House, Mumbai","Khar West, Mumbai",1800 - 2500
Pathare Prabhu Hall,"Khar West, Mumbai","35,000"
The BlueBop Mini Hall,"Khar West, Mumbai","25,000"
G A Kulkarni Banquet,"Khar West, Mumbai","1,10,000"
