Venue Name,Venue Location,Price per Plate
R K Banquets Hall 1,"Kirti Nagar, Delhi Ncr",1000 - 1100
Flavours From Heaven,"Kirti Nagar, Delhi Ncr",650 - 750
Wenicia Hotel Banquet Hall,"Kirti Nagar, Delhi Ncr",1000 - 1200
Kirti Club Banquet Hall,"Kirti Nagar, Delhi Ncr",500 - 700
Shivhare Banquet,"Kirti Nagar, Delhi Ncr",1218 - 1418
Sloshout Restaurant,"Kirti Nagar, Delhi Ncr",800 - 1000
The Grand Dreams,"Kirti Nagar, Delhi Ncr",800 - 1200
Royal Moments Banquet,"Kirti Nagar, Delhi Ncr",1200 - 1400
Blessings Party Hall,"Kirti Nagar, Delhi Ncr",605 - 805
Grand Affairs Banquet,"Kirti Nagar, Delhi Ncr","35,000"
RainTree Banquets,"Kirti Nagar, Delhi Ncr","1,00,000"
