Venue Name,Venue Location,Price per Plate
RMP Palace,"Kolathur, Chennai","3,60,000"
Sri Selva Lakshmi Mahal,"Kolathur, Chennai","2,08,400"
Shree Indirani Hanumantha Mahal,"Kolathur, Chennai","1,25,000"
Maha Adhiti Classic Hall,"Kolathur, Chennai",350 - 500
JBN Hall,"Kolathur, Chennai","1,25,000"
PR Mahal,"Kolathur, Chennai","1,00,000"
Sree M Dasartha Naidu Kasthuri Mahal,"Kolathur, Chennai","2,00,000"
PA Mahal,"Kolathur, Chennai","30,000"
RE Party Hall,"Kolathur, Chennai","51,000"
SSS Party Hall,"Kolathur, Chennai",350 - 400
KS Mahal,"Kolathur, Chennai","50,000"
Sri Serndhaiyan mahal,"Kolathur, Chennai","1,70,000"
Sri Meena Mahal,"Kolathur, Chennai","15,000"
Meena Mahal,"Kolathur, Chennai","80,000"
Muthu Malai Hall,"Kolathur, Chennai","70,000"
Sri Kumaran Elite Hall Ac,"Kolathur, Chennai","30,000"
Thulasi Party Hall 1,"Kolathur, Chennai","20,000"
Sri Vaari Party Hall,"Kolathur, Chennai","12,000"
