Venue Name,Venue Location,Price per Plate
Elixir Hills Suites Resort Banquet Hall,"Kothamangalam, Kochi",750 - 750
Poetree Sarovar Portico Banquet hall,"Kothamangalam, Kochi",850 - 950
Cloud 9 Hotels - Hornbill Hall,"Kothamangalam, Kochi",900 - 1100
ayur county resorts Banquet Halls,"Kothamangalam, Kochi",550 - 550
Springdale Heritage Banquet Hall,"Kothamangalam, Kochi",650 - 850
The silver tips,"Kothamangalam, Kochi",354 - 649
budgies cottage,"Kothamangalam, Kochi",200 - 450
Southern Panorama Indriya Resort Banquet Hall,"Kothamangalam, Kochi",600 - 750
Hotel Ceasar Palace Banquet Hall,"Kothamangalam, Kochi",750 - 750
Hotel Convention Centre,"Kothamangalam, Kochi",800 - 800
The Leaf Munnar Banquet Hall,"Kothamangalam, Kochi",700 - 750
Sterling Munnar Banquet Hall,"Kothamangalam, Kochi",1000 - 1001
Parakkat Nature Hotel & Resorts,"Kothamangalam, Kochi",500 - 700
Forest Canopy Banquest Hall,"Kothamangalam, Kochi",2000 - 2000
Silver Crest Open Lawn,"Kothamangalam, Kochi",850 - 850
Hyatt Regency Banquet Hall 2,"Kothamangalam, Kochi",3000 - 3000
Bellmount Resort Conference Hall,"Kothamangalam, Kochi",450 - 550
The Munnar Queen Open Lawn,"Kothamangalam, Kochi",550 - 650
Cassells Resorts Lawn,"Kothamangalam, Kochi",550 - 550
Chandys Windy Woods Banquet Halls,"Kothamangalam, Kochi",1050 - 1050
The Fog Munnar Resorts Banquet Hall,"Kothamangalam, Kochi",850 - 950
Eletaria Resort Open Lawn,"Kothamangalam, Kochi",650 - 750
Pleasant Hill Resort Open Lawn,"Kothamangalam, Kochi",750 - 850
Green Palace Residency Banquet Hall,"Kothamangalam, Kochi",550 - 650
