Venue Name,Venue Location,Price per Plate
Spicy Hub A Business Hotel,"Kothapet, Hyderabad",473 - 630
Akshara Grand Hall 1,"Kothapet, Hyderabad",650 - 750
Vaishnovi Banquets,"Kothapet, Hyderabad",788 - 988
"Green Leaves Hotel, Kothapet","Kothapet, Hyderabad",550 - 650
Sri Srinivasa Function Hall,"Kothapet, Hyderabad","2,00,000"
TNR Susheela Hall AC,"Kothapet, Hyderabad","2,40,000"
Swetha Gardens,"Kothapet, Hyderabad","85,018"
Sri Sai Garden AC Function Hall,"Kothapet, Hyderabad","1,20,000"
Usha Srii Banquet Hall,"Kothapet, Hyderabad","20,000"
Spicy Hub Convention Hall,"Kothapet, Hyderabad","1,00,000"
Papadams Blue,"Kothapet, Hyderabad","4,00,000"
Rajadhani Gardens Hall,"Kothapet, Hyderabad","1,50,000"
Siri Grand Banquet Hall,"Kothapet, Hyderabad","30,000"
