Venue Name,Venue Location,Price per Plate
Bunts Sangha Mumbai,"Kurla, Mumbai",800 - 2
Shree Kutchi Visha Oswal,"Kurla, Mumbai",1500 - 2000
Grand Yashodhan,"Kurla, Mumbai",650 - 750
Rohidas Sudhark Hall,"Kurla, Mumbai",550 - 750
Hotel Puranidilli 13 Hall,"Kurla, Mumbai",450 - 550
Hotel Golden Palace Mini Hall,"Kurla, Mumbai",650 - 850
"Nirmiti Wedding Lawn Ground, Kurla","Kurla, Mumbai","60,000"
Noor Lawn,"Kurla, Mumbai","1,00,000"
Shree Kutchi Visha Oswal Jain Seva Samaj,"Kurla, Mumbai","75,000"
Noor Lawn,"Kurla, Mumbai","1,50,000"
