Venue Name,Venue Location,Price per Plate
JD Palace,"Madhyamgram, Kolkata",700 - 1000
Sanai Banquet,"Madhyamgram, Kolkata",800 - 800
Little Sisters Banquet,"Madhyamgram, Kolkata",500 - 650
Puspanjali Banquet Hall,"Madhyamgram, Kolkata",650 - 750
Garib Khana Marriage Ceremony Hall,"Madhyamgram, Kolkata",450 - 550
Shibaloy Garden,"Madhyamgram, Kolkata",599 - 699
Lotus Divine Banquet,"Madhyamgram, Kolkata",850 - 950
Suhani Banquet,"Madhyamgram, Kolkata",850 - 950
Srishti Garden Banquet Hall,"Madhyamgram, Kolkata",850 - 1000
Sher E Punjab,"Madhyamgram, Kolkata","65,000"
Tandra Garden,"Madhyamgram, Kolkata","80,000"
Prajapati Ceremonial Hall,"Madhyamgram, Kolkata","1,30,000"
Uttara Bhavan,"Madhyamgram, Kolkata","95,000"
