Venue Name,Venue Location,Price per Plate
Kollassery xavier Hall 1,"Mattancherry, Kochi","18,500"
Ginger House Museum Hotel Banquet 1,"Mattancherry, Kochi",1100 - 1500
Phil s Banquet Hall,"Mattancherry, Kochi",125 - 125
Palm Rivera,"Mattancherry, Kochi",1 - 1
Shadi Mahal Banquets,"Mattancherry, Kochi",500 - 700
Sree Saradha Sankara Kalyana Mandapam,"Mattancherry, Kochi",700 - 850
Shamiana Convention Centre,"Mattancherry, Kochi",On Request
Fadi Auditorium,"Mattancherry, Kochi",On Request
Hossana Hall,"Mattancherry, Kochi","5,000"
The Byke Spice Heritage,"Mattancherry, Kochi",On Request
KMJ Hall,"Mattancherry, Kochi","15,000"
Hotel PGS Vedanta,"Mattancherry, Kochi","1,50,000"
East West Auditorium,"Mattancherry, Kochi","60,000"
