Venue Name,Venue Location,Price per Plate
The Woods Manor,"Mg Road, Kochi",472 - 531
Yuvarani Residency - Summit Hall,"Mg Road, Kochi",531 - 649
Paulson Park Hotel - City Hall,"Mg Road, Kochi",295 - 472
Harbour View Residency two tree,"Mg Road, Kochi",531 - 767
Bharat Hotel Aangan,"Mg Road, Kochi",590
Hotel Excellency Banquet Hall 1,"Mg Road, Kochi",351 - 531
Hotel Saas Tower,"Mg Road, Kochi",442 - 472
The Mercy Hotel - Big Bang,"Mg Road, Kochi",472 - 531
Trivium Restaurant,"Mg Road, Kochi",236 - 295
Hotel millennium continental,"Mg Road, Kochi",400 - 550
Hotel South Regency,"Mg Road, Kochi",525 - 675
Diwans Court Hotel,"Mg Road, Kochi",400 - 750
Time Square Hotel,"Mg Road, Kochi",472 - 649
The Anton Hotel,"Mg Road, Kochi",200 - 400
Comfy Cape Town,"Mg Road, Kochi",425 - 472
Abad Plaza - Grand Ball Hall,"Mg Road, Kochi",560 - 619
The Dunes Cochin - Noofa one,"Mg Road, Kochi",501 - 531
Browns multi Cuisine,"Mg Road, Kochi",262 - 472
Hotel Span International The Ball Room,"Mg Road, Kochi",737 - 1062
Royal Riviera Hotels Resorts,"Mg Road, Kochi",518 - 618
Travancore Court,"Mg Road, Kochi",649 - 767
Oak Field Inn,"Mg Road, Kochi",472 - 531
Centre Point,"Mg Road, Kochi",236 - 413
Centre Point,"Mg Road, Kochi",400 - 400
