Venue Name,Venue Location,Price per Plate
Trance Greenfield Resort Convention Hall,"Moinabad, Hyderabad",1239 - 1475
4M Farm House Hall,"Moinabad, Hyderabad",12018 - 12018
IG Thrills Farm House Lawn,"Moinabad, Hyderabad","25,000"
Pavani Resorts Lawn -3,"Moinabad, Hyderabad",450 - 650
Fun Time Farm House,"Moinabad, Hyderabad","70,000"
Brown Town Resort Spa Conventions Lawn,"Moinabad, Hyderabad",1300 - 1500
Sara farm house,"Moinabad, Hyderabad",250 - 300
Sunrise Farm- Hall -01,"Moinabad, Hyderabad","35,000"
Samrat Farms Lawn -01,"Moinabad, Hyderabad","20,000"
Frame House,"Moinabad, Hyderabad","2,50,000"
Nagaram Mallesh Yadav Function Hall,"Moinabad, Hyderabad","35,000"
Boddam Resorts,"Moinabad, Hyderabad","80,000"
Sagar Farm Resort Lawn -01,"Moinabad, Hyderabad","1,00,000"
Wonder Family Resorts - Hall,"Moinabad, Hyderabad","1,50,000"
Mushtaq Pariwar Farm House,"Moinabad, Hyderabad","20,018"
AK Crystal Farm House Lawn,"Moinabad, Hyderabad","30,000"
De Villageo Resort Lawn,"Moinabad, Hyderabad","50,000"
Village Farmville Farm House - Lawn,"Moinabad, Hyderabad","30,000"
GMK Farm & Resort - Hall,"Moinabad, Hyderabad","20,000"
MSB Resorts Hall - 01,"Moinabad, Hyderabad","60,000"
Heaven Gaits lawn,"Moinabad, Hyderabad","30,005"
MSB Convention Hall,"Moinabad, Hyderabad","1,00,018"
Pleasant Farm House Lawn,"Moinabad, Hyderabad","20,000"
Quatermile Farm House,"Moinabad, Hyderabad","30,000"
