Venue Name,Venue Location,Price per Plate
Nandhana Palace Nagarabhavi,"Naagarabhaavi, Bangalore",367 - 472
Jayanth Convention Center,"Naagarabhaavi, Bangalore","4,25,000"
Kodagu Gowda Samaja,"Naagarabhaavi, Bangalore","1,00,000"
Scion Events And Wedding Venue,"Naagarabhaavi, Bangalore",300 - 400
Swarna Party Hall 1,"Naagarabhaavi, Bangalore",299 - 499
Smt Leelavathi Sri KB Boregowda Mahal,"Naagarabhaavi, Bangalore",45000 - 50000
Aragas Grand Party Hall 1,"Naagarabhaavi, Bangalore",350
Kings Club,"Naagarabhaavi, Bangalore",800 - 1000
Hindu dharmika sabha bhavana dwarika hall,"Naagarabhaavi, Bangalore",273
Sri Nandi Party Hall,"Naagarabhaavi, Bangalore",50018 - 50018
Jnana Bharathi Samudaya Hall,"Naagarabhaavi, Bangalore",800 - 950
Dhaanya Party Hall at Ayodhya Grand,"Naagarabhaavi, Bangalore",354 - 531
Ayodhya Grand Hotel Hall,"Naagarabhaavi, Bangalore",700 - 800
Sri lakshmi party hall,"Naagarabhaavi, Bangalore","35,000"
BHM Party Hall,"Naagarabhaavi, Bangalore","20,018"
Shantabhai Bujangasa Pawar Kalyana Mantapa,"Naagarabhaavi, Bangalore","95,018"
Smt manchamma honnegowda kalyana mantapa,"Naagarabhaavi, Bangalore","90,000"
Aditya Convention Hall,"Naagarabhaavi, Bangalore","28,000"
Terige Bhavana 1,"Naagarabhaavi, Bangalore","95,018"
