Venue Name,Venue Location,Price per Plate
Devaki Convention Hall,"Nagole, Hyderabad","2,00,000"
Nava Convention,"Nagole, Hyderabad","5,00,000"
J Convention Center And Resorts,"Nagole, Hyderabad","3,50,000"
Parinayam Grand Gokulam,"Nagole, Hyderabad",450 - 550
Kalyana Lakshmi Gardens,"Nagole, Hyderabad","1,00,000"
Subham Convention Centre,"Nagole, Hyderabad",10
Hotel Shubham Celebrations - Flavours,"Nagole, Hyderabad",501 - 619
Nimantran Palace,"Nagole, Hyderabad","6,30,000"
Event Villa Garden Function Hall,"Nagole, Hyderabad","80,000"
GG Gardens,"Nagole, Hyderabad","1,20,000"
PBR Convention Center,"Nagole, Hyderabad","4,00,000"
Ananthula Anji Reddy Gardens,"Nagole, Hyderabad","80,000"
Sri Venkateswara Gardens,"Nagole, Hyderabad","1,00,000"
Shiva Function Hall,"Nagole, Hyderabad","1,20,000"
Vasanth Vihar Function Hall,"Nagole, Hyderabad","1,30,000"
Devaki convention,"Nagole, Hyderabad","5,10,018"
Subham Marriage Convention Hall,"Nagole, Hyderabad","2,00,000"
