Venue Name,Venue Location,Price per Plate
Khayaban Banquet Hall,"Okhla, Delhi Ncr",500 - 600
The ICs Hotel,"Okhla, Delhi Ncr",550 - 650
Park Inn,"Okhla, Delhi Ncr",800 - 1000
Hotel Conclave Executive,"Okhla, Delhi Ncr",700 - 900
Hotel Hans Jasola,"Okhla, Delhi Ncr",900 - 1000
Hotel River View,"Okhla, Delhi Ncr",1250 - 1500
Shyama Banquets Hall 1,"Okhla, Delhi Ncr",650 - 850
Crowne Plaza Okhla,"Okhla, Delhi Ncr",850 - 950
Okas Grand,"Okhla, Delhi Ncr",1118 - 1368
Khayaban Hotel,"Okhla, Delhi Ncr",1000 - 1200
Swadeshi Party Hall,"Okhla, Delhi Ncr",450 - 600
Sattu Sagwan Lawn,"Okhla, Delhi Ncr","18,000"
The Ic's Hotel,"Okhla, Delhi Ncr","18,000"
Eliza Celebration Hall,"Okhla, Delhi Ncr","35,000"
Moonlight Marriage Hall,"Okhla, Delhi Ncr","50,000"
