Venue Name,Venue Location,Price per Plate
Ksheera Sagar Party Hall,"Peenya, Bangalore",318
Mantra Bhavana Party Hall,"Peenya, Bangalore",35000 - 35000
Hotel Nest Inn Party Hall,"Peenya, Bangalore",500 - 650
Srinidhi Party Hall,"Peenya, Bangalore","40,000"
Sri Neelakanta Mini Hall,"Peenya, Bangalore",400 - 500
BRS Convention Hall,"Peenya, Bangalore","65,018"
Mathrushree Kalyana Mantapa Hall,"Peenya, Bangalore","25,000"
Srimati Boramma Dyavedowda Kalyana Mantapa,"Peenya, Bangalore","20,000"
Lalitha Hall,"Peenya, Bangalore","49,000"
Shree Honnaganga Kalyana Mantapa,"Peenya, Bangalore","22,500"
