Venue Name,Venue Location,Price per Plate
The Greetings Banquet Imperial Hall,"Pitampura, Delhi",1150 - 1350
Raunak Banquet,"Pitampura, Delhi","1,200"
Blessings The Banquet Hall 1,"Pitampura, Delhi","1,200"
Khushi Banquet Hall 1,"Pitampura, Delhi",650
Hotel LA,"Pitampura, Delhi",1250 - 1850
Sundram L Hall,"Pitampura, Delhi",800 - 900
Mahawar Vaish Bhawan,"Pitampura, Delhi",850 - 950
Pacific Asia,"Pitampura, Delhi",500 - 500
Khushi Party Hall,"Pitampura, Delhi",650
Chaska Restaurant and Banquets,"Pitampura, Delhi",850 - 1200
SK Rosella Banquet Hall,"Pitampura, Delhi",750 - 900
Rajwada Tent,"Pitampura, Delhi","40,000"
Bhagat Ji Vatika,"Pitampura, Delhi","55,000"
Green Lounge Pitampura,"Pitampura, Delhi","2,15,000"
Castle Nouveau by Batra Tents,"Pitampura, Delhi","60,000"
