Venue Name,Venue Location,Price per Plate
Sakthi Hotel,"Pollachi, Coimbatore","35,000"
PMR Marriage Hall,"Pollachi, Coimbatore","35,000"
Sri Murugan Thirumana Mandapam,"Pollachi, Coimbatore","2,00,000"
Kkg Thirumana Mandapam,"Pollachi, Coimbatore","80,000"
Wee Mahal,"Pollachi, Coimbatore","70,000"
ANANDH HALL,"Pollachi, Coimbatore","50,000"
Raja Rani Mahal,"Pollachi, Coimbatore","35,000"
Arunachalam Mahal,"Pollachi, Coimbatore","3,25,000"
PN Farm House,"Pollachi, Coimbatore",1500 - 1750
Sri Raghavendra Thirumana Mandapam,"Pollachi, Coimbatore","50,000"
Sarojini Mahal,"Pollachi, Coimbatore","43,500"
Jeyasurya Mahal,"Pollachi, Coimbatore","60,000"
Vivaha Wedding Hall,"Pollachi, Coimbatore","35,000"
Dr MC Velusamy Kalyana Mandapam,"Pollachi, Coimbatore","52,500"
Vijey Mahal,"Pollachi, Coimbatore","1,80,000"
Landmark Hall,"Pollachi, Coimbatore","40,000"
Thirumalai Mahal,"Pollachi, Coimbatore","37,000"
