Venue Name,Venue Location,Price per Plate
Dhanam Thirumana Mahal A/C,"Porur, Chennai","90,000"
Ruckmani Ramjee Convention Halls,"Porur, Chennai","2,65,000"
RS Mahal,"Porur, Chennai","1,00,000"
Saritha Mahal,"Porur, Chennai","60,000"
PJN Mahal,"Porur, Chennai","1,50,000"
Priyankaa Mini Hall AC,"Porur, Chennai","30,000"
Sri Rajalakshmi Mahal AC,"Porur, Chennai","2,60,000"
Raj Mahal,"Porur, Chennai","2,00,000"
Sri Krishnaveni Mahal AC,"Porur, Chennai","5,32,400"
DSM Thirumana Mandapam,"Porur, Chennai","60,000"
Hotel Chennai Le Palace,"Porur, Chennai",818 - 918
JVP Mini Hall AC,"Porur, Chennai","28,000"
Sri SAK Jai Maruthi Mahal,"Porur, Chennai","75,000"
Periyasamy Mahal AC,"Porur, Chennai","35,000"
Karthika Party Hall,"Porur, Chennai","15,000"
