Venue Name,Venue Location,Price per Plate
An Ecotel Hotel,"Powai, Mumbai",1050 - 1150
Powai Banquet Mini Hall,"Powai, Mumbai",350
"Oritel Service Apartments,Mumbai","Powai, Mumbai",875 - 925
Ramada by Wyndham Powai,"Powai, Mumbai",2200 - 2500
Aanvii Banquets,"Powai, Mumbai",600
DS Wedding Venue,"Powai, Mumbai",1500 - 1650
The Westin Mumbai,"Powai, Mumbai",2850 - 2850
Athena Banquets,"Powai, Mumbai",1550 - 1750
Megarugas Banquet,"Powai, Mumbai",550 - 750
Powai Banquet Hall,"Powai, Mumbai","75,000"
Sigree Global Hall,"Powai, Mumbai","15,000"
Jain Mandir Hall,"Powai, Mumbai","55,000"
Cobalt A La Carte,"Powai, Mumbai","45,000"
Jain Mandir Banquet Hall,"Powai, Mumbai","50,000"
Athena Banquet,"Powai, Mumbai","1,60,000"
