Venue Name,Venue Location,Price per Plate
Hotel Abhimaani Vasathi,"Rajaji Nagar, Bangalore",450 - 650
shivaalis party hall,"Rajaji Nagar, Bangalore",315
Nandhana Party Hall,"Rajaji Nagar, Bangalore",367 - 472
Indus Bay Banquet at West Fort Hotel,"Rajaji Nagar, Bangalore",708
Parijatha premium hall,"Rajaji Nagar, Bangalore",472
Krishnapriya Banquet Hall 1,"Rajaji Nagar, Bangalore",413 - 531
Hotel Madhu Party Hall 1,"Rajaji Nagar, Bangalore",472 - 531
Annappa Party Hall 1,"Rajaji Nagar, Bangalore",23600 - 20000
Grand Regency Party Hall 1,"Rajaji Nagar, Bangalore",299
Hotel Parijatha Gateway,"Rajaji Nagar, Bangalore",300
Swathi Banquet,"Rajaji Nagar, Bangalore",367 - 577
Hotel Aura Inn,"Rajaji Nagar, Bangalore",341 - 472
Hotel Udupi Ruchi and Party Hall,"Rajaji Nagar, Bangalore",295
Sheraton Grand Hotel,"Rajaji Nagar, Bangalore",1200 - 1200
KL Party Hall,"Rajaji Nagar, Bangalore",367
Sri Rajhans Convention Hall,"Rajaji Nagar, Bangalore","60,000"
Parthasarathy Damodar Party Hall,"Rajaji Nagar, Bangalore",650 - 650
Parvathi Convention Hall,"Rajaji Nagar, Bangalore","1,50,000"
Sree Krishnaa Kalyana Mantapa,"Rajaji Nagar, Bangalore","1,50,000"
Kadamba Party Hall,"Rajaji Nagar, Bangalore",315
Swetha Mahal,"Rajaji Nagar, Bangalore","56,000"
Reddys Bhavanaa,"Rajaji Nagar, Bangalore","60,000"
Sri Sujatha Kalyana Mantapa,"Rajaji Nagar, Bangalore","90,000"
Shivaprabha Kalyana Mantapa,"Rajaji Nagar, Bangalore","85,018"
