Venue Name,Venue Location,Price per Plate
Vedic Village Spa Resort,"Rajarhat, Kolkata",2218 - 2718
EC Block Community Hall,"Rajarhat, Kolkata",500 - 600
Celesta Hotel,"Rajarhat, Kolkata",800 - 1000
Heavens Garden,"Rajarhat, Kolkata",550 - 650
Kings Crown Hotel,"Rajarhat, Kolkata",600 - 700
Novotel Kolkata Hotel,"Rajarhat, Kolkata",1500 - 1200
Shivangan Hotel Banquet,"Rajarhat, Kolkata",600 - 700
The Fern Residency,"Rajarhat, Kolkata",500 - 600
Parinita Banquet hall,"Rajarhat, Kolkata",400 - 500
Om Bishnu Marriage Hall,"Rajarhat, Kolkata",550 - 650
Shri Radha Ceremony Hall,"Rajarhat, Kolkata",600 - 700
Shakuntala Devi Todi Bhawan,"Rajarhat, Kolkata",600 - 750
Sonar Tori Marriage Hall,"Rajarhat, Kolkata",500 - 500
Shree Palace Banquet,"Rajarhat, Kolkata",600 - 700
Abhinandan Bhavan,"Rajarhat, Kolkata",550 - 700
Kanakanjali Ac,"Rajarhat, Kolkata",550 - 650
Amrolly Banquets,"Rajarhat, Kolkata",550 - 650
The Grand Inn,"Rajarhat, Kolkata",500 - 700
MB Festival Hall,"Rajarhat, Kolkata",600 - 700
Bhagat's House,"Rajarhat, Kolkata",500 - 600
Ballygunge Place,"Rajarhat, Kolkata",500 - 600
Hotel Dream,"Rajarhat, Kolkata",850 - 950
Binani Bhavan Hall,"Rajarhat, Kolkata",850 - 950
Max Garden Lawn,"Rajarhat, Kolkata",500 - 600
