Venue Name,Venue Location,Price per Plate
Sambhrama Party Hall,"Ramamurthy Nagar, Bangalore",500 - 600
Sambhrama Diamond Party Hall,"Ramamurthy Nagar, Bangalore",300 - 400
Hotel The Shack,"Ramamurthy Nagar, Bangalore",420 - 577
New Krishnasagar Party Hall,"Ramamurthy Nagar, Bangalore",315
Dharay Open Lawn,"Ramamurthy Nagar, Bangalore",700 - 900
Eagleton Golf Resort,"Ramamurthy Nagar, Bangalore",1000 - 1000
Frontier management convention center,"Ramamurthy Nagar, Bangalore",525 - 787
SAK CONVENTION HALL,"Ramamurthy Nagar, Bangalore","95,018"
Sri Sai Party Hall,"Ramamurthy Nagar, Bangalore","25,000"
Shilhaandara Resort Weding Venue,"Ramamurthy Nagar, Bangalore","5,50,000"
Lotus Convention Centre,"Ramamurthy Nagar, Bangalore","9,00,000"
V P Convention Center,"Ramamurthy Nagar, Bangalore","60,000"
Krishna Flower Party Hall,"Ramamurthy Nagar, Bangalore","50,000"
