Venue Name,Venue Location,Price per Plate
Samriddhi Banquet Garden,"Ranaghat, Kolkata",668 - 768
Hohe Havel,"Ranaghat, Kolkata",600 - 800
Country Club Chanakyapuri,"Ranaghat, Kolkata",518 - 668
JMD Resort,"Ranaghat, Kolkata",868 - 1018
The Fame,"Ranaghat, Kolkata",850 - 950
Hotel Sunshine,"Ranaghat, Kolkata",850 - 900
Apex Hotel,"Ranaghat, Kolkata",800 - 950
Golden Park Hotel And Resort,"Ranaghat, Kolkata",818 - 1018
Coconut Gardens,"Ranaghat, Kolkata",368 - 518
Rajhans Hotel And Reorts Lawn,"Ranaghat, Kolkata",468 - 718
KAHINI HOTEL,"Ranaghat, Kolkata",600 - 800
Relook Hotels,"Ranaghat, Kolkata",600 - 800
Sunndew Farmhouse,"Ranaghat, Kolkata",600 - 850
Hotel Rudra Banquet Halls,"Ranaghat, Kolkata",200 - 400
Star Palace,"Ranaghat, Kolkata","65,000"
Viceroy Boutique Hotel Lawn,"Ranaghat, Kolkata","25,000"
