Venue Name,Venue Location,Price per Plate
Hotel Goel Residency,"Rohini, Delhi",800 - 900
Gulmohar Garden,"Rohini, Delhi","2,50,000"
Grand Moments By JMD Tents,"Rohini, Delhi",1500 - 1700
7 Sun Motel and Resorts Hall 1,"Rohini, Delhi",1300 - 1600
Seven Seas Hotel,"Rohini, Delhi",2518 - 2718
Crowne Plaza,"Rohini, Delhi",4005 - 4205
R J Bhawan Hall 1,"Rohini, Delhi",800 - 1000
Dee Pearls Banquet,"Rohini, Delhi",1 - 1
Durga Vatika,"Rohini, Delhi",1200 - 1500
Ap Banquet,"Rohini, Delhi",800 - 900
Feather Party Hall,"Rohini, Delhi",500 - 750
Ashirwad Party Hall 1,"Rohini, Delhi",500 - 500
Utsav vatika,"Rohini, Delhi",1000 - 1200
Sagar Palace,"Rohini, Delhi",900
Bharat Banquet Hall 1,"Rohini, Delhi",600
Ramesh Farms Hall 1,"Rohini, Delhi",500 - 1000
Vishwakarma Palace Hall 1,"Rohini, Delhi",950 - 1200
Star Banquet Hall 1,"Rohini, Delhi",1200 - 1500
Dee Garden,"Rohini, Delhi",700 - 1000
Kanak Garden,"Rohini, Delhi",550 - 600
Rattan Singh Vatika,"Rohini, Delhi",1100 - 1500
Chadha Bhawan Hall 1,"Rohini, Delhi",500
Shiva Garden Open Lawn 1,"Rohini, Delhi",800 - 900
Noor Palace Banquet Hall 1,"Rohini, Delhi",750 - 900
