Venue Name,Venue Location,Price per Plate
Sankalp Banquets,"Sadashiv Peth, Pune",850
Udyan Mangal Karyalaya,"Sadashiv Peth, Pune",248
Udyan Karyalaya,"Sadashiv Peth, Pune",850
Saffron Banquet Hall,"Sadashiv Peth, Pune",750 - 900
Brahman Mangal Hall,"Sadashiv Peth, Pune",750 - 950
Laxman Bhuvan Mangal Karyalay,"Sadashiv Peth, Pune",750 - 1200
Swastishri Hall,"Sadashiv Peth, Pune",850
Rameshwar Sabhagruha,"Sadashiv Peth, Pune",850
Saffron Banquets,"Sadashiv Peth, Pune",375
Hotel Suyash Deluxe,"Sadashiv Peth, Pune","15,000"
Vishnu Prasad Sabhagruha,"Sadashiv Peth, Pune","18,000"
Udyan Karyalaya Banquet Hall,"Sadashiv Peth, Pune",850
