Venue Name,Venue Location,Price per Plate
Summer Green Resorts,"Shamirpet, Hyderabad","1,20,000"
Aalankrita Resort Tarana annexe,"Shamirpet, Hyderabad",750 - 850
Rainbow Resort Hall 1,"Shamirpet, Hyderabad",650 - 850
Celebrity Resort,"Shamirpet, Hyderabad",649 - 826
Aranya resorts hall 2,"Shamirpet, Hyderabad",1004 - 1104
Mogulla Ramakrishna Reddy Gardens,"Shamirpet, Hyderabad","1,85,200"
Jenvi Conventions,"Shamirpet, Hyderabad","2,00,000"
Mogulla venkat Reddy garden lawn,"Shamirpet, Hyderabad","1,00,018"
Chandra Reddy Garden,"Shamirpet, Hyderabad","50,000"
GBR Function Hall,"Shamirpet, Hyderabad","35,000"
Brundavanam Mini Convention,"Shamirpet, Hyderabad","60,000"
Jupalli Balamma Velama Kalyana Mandapam,"Shamirpet, Hyderabad","1,20,000"
AK Royal Function Hall,"Shamirpet, Hyderabad","35,000"
MAK Garden Function Hall,"Shamirpet, Hyderabad","20,000"
