Venue Name,Venue Location,Price per Plate
Palm Exotica Botique and Spa Resort,"Shankarpally, Hyderabad",788 - 893
Baddam Surender Reddy Function Hall,"Shankarpally, Hyderabad","40,000"
Lakshmi Narasimha convention Hall,"Shankarpally, Hyderabad",505 - 655
Citizen Gardens Function Hall,"Shankarpally, Hyderabad","50,000"
Pragathi Resort - Pool Side Roman Dias,"Shankarpally, Hyderabad","35,000"
Mani deepika function halls,"Shankarpally, Hyderabad","25,000"
Munugala amrutha Reddy garden's,"Shankarpally, Hyderabad","55,018"
DSK Function Halls,"Shankarpally, Hyderabad","90,018"
Anantha Susheelamma Function Hall,"Shankarpally, Hyderabad","1,30,018"
DMR Function Hall,"Shankarpally, Hyderabad","45,018"
Moin Function Hall,"Shankarpally, Hyderabad","40,018"
ORO Sports Village Banquet Hall,"Shankarpally, Hyderabad","80,010"
ANANTHA SUSHEELAMMA CONVENTION,"Shankarpally, Hyderabad","20,000"
PRR Garden Function Hall,"Shankarpally, Hyderabad","80,000"
Silver Wood Farm Open Lawn,"Shankarpally, Hyderabad","2,00,000"
