Venue Name,Venue Location,Price per Plate
Hotel MGM Grand 1,"Srikalahasti, Tirupati",
NVS Function Hall,"Srikalahasti, Tirupati",
DBR Convention Hall,"Srikalahasti, Tirupati",
BMC Function Hall,"Srikalahasti, Tirupati",
KCRR Kalyanamandapam,"Srikalahasti, Tirupati",
Jayaram Residency,"Srikalahasti, Tirupati",
Sarojini Kalyana Mandapam,"Srikalahasti, Tirupati",
Sadashiva Kalyanamandapam,"Srikalahasti, Tirupati",
Sree Lakshmi Kamakshi Kalyana Mandapam,"Srikalahasti, Tirupati",
RRB Function Hall,"Srikalahasti, Tirupati",
Srikalahastiswara Aryavasya Vasavi Trust Function Hall,"Srikalahasti, Tirupati",
Sri Amarajyothi Kalyana Mandapam,"Srikalahasti, Tirupati",
Sarpuru Doraswami Naidu Kalyana Mandapam,"Srikalahasti, Tirupati",
Prakash Kalyan Sadan,"Srikalahasti, Tirupati",
Sri Hari Kalyanamandapam,"Srikalahasti, Tirupati",
Vaishnavi Kalyana Mandapam,"Srikalahasti, Tirupati",
