Venue Name,Venue Location,Price per Plate
APSARA Convention Hall,"Sunkadakatte, Bangalore","2,50,000"
Lalith Convention Hall,"Sunkadakatte, Bangalore","80,000"
The Krafted Backyard,"Sunkadakatte, Bangalore",350 - 500
Sri Krishna Party Hall,"Sunkadakatte, Bangalore",12000 - 12000
Vijaya Chandra Marriage Hall,"Sunkadakatte, Bangalore",450 - 500
Kavery Residency Party Hall,"Sunkadakatte, Bangalore",55000 - 55000
Heritage Convention Centre,"Sunkadakatte, Bangalore","1,25,000"
Srimathi Shri Gangamma Mudanna Kalyana Mantapa,"Sunkadakatte, Bangalore","60,018"
Vijaya Chandra Kalyana Mantapa,"Sunkadakatte, Bangalore","75,000"
Amaravathi Kalyana Mantapa,"Sunkadakatte, Bangalore","35,018"
SLS Convention And Party Hall,"Sunkadakatte, Bangalore","35,600"
Patel Function Hall,"Sunkadakatte, Bangalore","38,018"
Muninanjamma Peddanna Kalyana Mantapa,"Sunkadakatte, Bangalore","1,40,018"
VT Party Hall,"Sunkadakatte, Bangalore","40,000"
Timmakka Patel Venkatappa Kalyana Mantapa Karyalaya,"Sunkadakatte, Bangalore","18,000"
Timmakka Patel Venkatappa Convention Centre,"Sunkadakatte, Bangalore","2,45,000"
Smt Puttahonnamma Chairman Kariyanna Inn and Convention Center,"Sunkadakatte, Bangalore","2,02,000"
BGS Kalyana Mantapa,"Sunkadakatte, Bangalore","70,018"
Vishnu Priya Convention Centre,"Sunkadakatte, Bangalore","2,50,000"
