Venue Name,Venue Location,Price per Plate
The Chakrie Residency Hotel,"Tiruchanur, Tirupati",
Komal Paradise Kalyana Mandapam Ac,"Tiruchanur, Tirupati",
Marasa Sarovar Premiere Rama Banquet Hall,"Tiruchanur, Tirupati",
Hotel Sindhu International,"Tiruchanur, Tirupati",
Sree Mahalakshmi Kalyanamandapam,"Tiruchanur, Tirupati",
Fortune Select Grand Ridge,"Tiruchanur, Tirupati",
New Ashwariya Hotel,"Tiruchanur, Tirupati",
K S R Kalyana Mandapam Block-1,"Tiruchanur, Tirupati",
L V Kalyana Mandapam,"Tiruchanur, Tirupati",
Sri RadhaKrishna Kalyanamandapam,"Tiruchanur, Tirupati",
Hotel Anantha Residency,"Tiruchanur, Tirupati",
Padmavathi Convention Centre,"Tiruchanur, Tirupati",
Mukku And Mukku Function Hall,"Tiruchanur, Tirupati",
Sri Amarajyothi Kalyanamandapam,"Tiruchanur, Tirupati",
Chattada Sri Vaishnava Seva Sangam,"Tiruchanur, Tirupati",
Gayatri Function Hall,"Tiruchanur, Tirupati",
Hotel Gopi Krishna,"Tiruchanur, Tirupati",
Sannidhi Residency Function Hall AC,"Tiruchanur, Tirupati",
KK Function Hall,"Tiruchanur, Tirupati",
Ashok Palace Convention Center,"Tiruchanur, Tirupati",
M S Function Hall,"Tiruchanur, Tirupati",
SSB kalyanamandapam,"Tiruchanur, Tirupati",
Sudarshan Function Hall,"Tiruchanur, Tirupati",
Sri Paduka Kalyana Mandapam,"Tiruchanur, Tirupati",
