Venue Name,Venue Location,Price per Plate
AS Palace,"Tumkur Road, Bangalore","80,018"
The Golden Palms Hotel,"Tumkur Road, Bangalore",1318 - 1716
Lavanya Covention Center Manige Layout Bidar,"Tumkur Road, Bangalore",850 - 850
Dharamshi Resort Lawn 1,"Tumkur Road, Bangalore","1,454"
Viva Fernleaf Resort,"Tumkur Road, Bangalore",1368 - 1618
Jayasuryagrand Convention Hall,"Tumkur Road, Bangalore",8500 - 1250
SPS Party Hall,"Tumkur Road, Bangalore",399 - 599
Grand 7 Party Hall,"Tumkur Road, Bangalore",599
Hotel Hampi International,"Tumkur Road, Bangalore",900 - 1200
MH Function Hall,"Tumkur Road, Bangalore",800 - 950
Hyatt Place Hampi,"Tumkur Road, Bangalore",800 - 950
GAVIKAL CLUB AND RESORT,"Tumkur Road, Bangalore",700 - 700
Veerdency Luxury resort,"Tumkur Road, Bangalore",750 - 750
Malnad homestay Chikmagalur,"Tumkur Road, Bangalore",650 - 850
The Last Resort - Kemmangundi Resort & Homestay,"Tumkur Road, Bangalore",700 - 850
Savanur Deluxe Lodge,"Tumkur Road, Bangalore",800 - 950
Ramada by Wyndham Bengaluru Yelahanka,"Tumkur Road, Bangalore",800 - 1000
Samaya Venue and Leisure,"Tumkur Road, Bangalore",800 - 800
Arya Samaj Mandir,"Tumkur Road, Bangalore",600 - 600
Sri Rajhans Convention Hall,"Tumkur Road, Bangalore",818 - 868
Mallige Palace,"Tumkur Road, Bangalore",550 - 750
SVS Kalyana Mantapa Ramgad Residency,"Tumkur Road, Bangalore",850 - 850
Sakshi Retreat Resort,"Tumkur Road, Bangalore","80,000"
Balaji Convention Hall,"Tumkur Road, Bangalore","30,000"
