Venue Name,Venue Location,Price per Plate
Kangna grand,"Uttam Nagar, Delhi",800 - 900
De Royale Banquet,"Uttam Nagar, Delhi",850 - 1000
Raj Mahal Banquet Hall,"Uttam Nagar, Delhi",818 - 1018
Dilli Banquet Fifty Nine,"Uttam Nagar, Delhi",705
Royal Green Garden,"Uttam Nagar, Delhi","1,500"
Hari Krishna Grand Banquet Hall 1,"Uttam Nagar, Delhi",900 - 1150
Kanak Banquet,"Uttam Nagar, Delhi",900 - 1000
The Crystal Banquet Hall,"Uttam Nagar, Delhi",1018 - 1218
Gupta Plaza,"Uttam Nagar, Delhi",818 - 18
Kanga Grand Banquet,"Uttam Nagar, Delhi",900 - 1500
Ss Banquet Hall,"Uttam Nagar, Delhi",1000 - 1300
Nirmal Banquet Hall,"Uttam Nagar, Delhi",450 - 650
Silver Pearls Party Hall,"Uttam Nagar, Delhi",600 - 700
Hare Krishna Garden Banquet Hall,"Uttam Nagar, Delhi","1,300"
Dilli 59 Party Hall,"Uttam Nagar, Delhi","1,200"
SG Farms,"Uttam Nagar, Delhi","1,29,800"
Nishant Vatika,"Uttam Nagar, Delhi","1,75,018"
Rajdhani Greens Lawn,"Uttam Nagar, Delhi","1,47,500"
Sultan Garden,"Uttam Nagar, Delhi","1,06,200"
SS Vatika,"Uttam Nagar, Delhi",On Request
GOMTI BANQUET HALL,"Uttam Nagar, Delhi","30,000"
RAJYOG FARMS,"Uttam Nagar, Delhi","50,000"
Saroj Garden and Party Lawn,"Uttam Nagar, Delhi",1
V G Rajyog Farm,"Uttam Nagar, Delhi",On Request
