Venue Name,Venue Location,Price per Plate
Abaam cochin rendezvous,"Vytilla, Kochi",472 - 649
Mermaid Hotels - River View,"Vytilla, Kochi",600 - 800
Broad Bean Hotel Odyssey,"Vytilla, Kochi",472 - 531
Maxx Cochin Heritage Hotel,"Vytilla, Kochi",354 - 590
Emarald Hotel and resorts,"Vytilla, Kochi",472 - 531
Hotel Anugraha,"Vytilla, Kochi",354
The Brewing Company,"Vytilla, Kochi",200 - 200
Kidu Restaurant,"Vytilla, Kochi",411 - 531
Hotel Cochin Legacy,"Vytilla, Kochi",200 - 550
Star Choyz Convention Centre - Hall 1,"Vytilla, Kochi",On Request
Silver Sand Beach Resort Open Space,"Vytilla, Kochi","2,56,000"
Henry Baker Hall,"Vytilla, Kochi","23,500"
Nishis Hall,"Vytilla, Kochi","15,000"
