Venue Name,Venue Location,Price per Plate
Rustique Winds,"Whitefield, Bangalore","3,50,000"
Radha Hometel Orchid,"Whitefield, Bangalore",787 - 997
The Den,"Whitefield, Bangalore",1618 - 1618
Bhagini IRIS,"Whitefield, Bangalore",531 - 678
Adya Banquet Hall,"Whitefield, Bangalore",350 - 500
Genesis Banquet Hall By Oakwood Residence Prestige,"Whitefield, Bangalore",1018 - 1118
The Summit Hall By Hotel Royal Orchid Suites,"Whitefield, Bangalore",510 - 610
Oak Tavern By Palm Meadows Resort,"Whitefield, Bangalore",1223 - 1223
Camellia By Marriott Hotel Whitefield,"Whitefield, Bangalore",1618 - 1818
Tirumala Banquet Hall,"Whitefield, Bangalore",800 - 900
North Parade Fortune Select Trinity,"Whitefield, Bangalore",1155 - 1365
Holiday Inn Open Lawn,"Whitefield, Bangalore",1207 - 1312
Aloft Bengaluru Whitefield,"Whitefield, Bangalore",968 - 1118
MK Party Hall,"Whitefield, Bangalore",30018 - 35018
The Zinc Whitefield,"Whitefield, Bangalore","12,000"
The Zuri Whitefield,"Whitefield, Bangalore",1200 - 1300
ECC Centre Lawn,"Whitefield, Bangalore",850 - 1200
Sai Sannidhi Party Hall,"Whitefield, Bangalore",35000 - 35000
Ecumenical Christian Centre,"Whitefield, Bangalore",800 - 950
Brindavanam Banquet Hall,"Whitefield, Bangalore",472 - 525
Hibiscus Banquets,"Whitefield, Bangalore",577 - 682
MLR Convention Centre,"Whitefield, Bangalore","47,65,018"
Sowbhagya Function Hall,"Whitefield, Bangalore","40,000"
Sri Srinivasa Kalyana Mantapa,"Whitefield, Bangalore","70,000"
