Venue Name,Venue Location,Price per Plate
Madhuli Gardens,"Worli, Mumbai","75,000"
Jade Luxury Banquet,"Worli, Mumbai",699 - 800
Tamasha Convention Hall,"Worli, Mumbai",950 - 1050
Sunville Banquets and Conference Rooms,"Worli, Mumbai",1300 - 1500
Sunville Banquets,"Worli, Mumbai",1250 - 1450
Four Seasons Hotel,"Worli, Mumbai",3600 - 3600
Good Food Concept,"Worli, Mumbai",600 - 750
The Palace Halls,"Worli, Mumbai",1700 - 1800
Matahaari Nightclub,"Worli, Mumbai",550 - 700
Hotel Hiltop,"Worli, Mumbai",650 - 750
Hotel Hiltop Mini Hall,"Worli, Mumbai",650 - 750
Jade Garden,"Worli, Mumbai",3200 - 3300
Matahaari Mini Hall,"Worli, Mumbai","35,000"
